M0,M_best,M_change_pct_best,M_max_change_pct,M_max_with_theta_cap,T0_days,T_best_days,T_change_pct_best,T_for_max_M_days,T_max_days,T_min_days,c_i,c_j,contest_id,has_pareto_opportunity,lambda,mu0,n_feasible_grid_points,r,sigma,status,strict_theta_reduction,theta0,theta_best,theta_for_max_M,theta_min_used,theta_reduction_pct_best
6.3635298335293236,6.363529833529295,-4.466343393355451e-13,73.75737603639307,11.057102462033605,30.833333333333332,92.5,200.00000000000003,92.5,92.5,7.708333333333333,4.304,3.154,2445,True,15.377,-0.089,14,2.088,0.98,ok,True,5.0,1.77225900125349,5.0,0.01,64.55481997493021
0.4851446178938491,0.48514461650767493,-2.8572391083337824e-07,199.9392817976818,1.4551392825909186,28.041666666666668,84.125,199.99999999999997,84.125,84.125,7.010416666666667,0.688,0.81,2454,True,15.016,4.377,14,18.035,1.03,ok,True,0.15,0.04878682890092087,0.15,0.01,67.4754473993861
1.3694277076092223,1.3694277076156307,4.679640485680919e-10,84.42198532975833,2.525525766028726,13.5,40.5,200.0,40.5,40.5,3.375,1.631,1.38,2464,True,9.844,-0.474,14,14.217,2.325,ok,True,0.95,0.513654962550688,0.95,0.01,45.931056573611784
4.132682575191974,4.13268256228119,-3.124068739042854e-07,75.44773717040607,7.250698062609984,44.833333333333336,134.5,199.99999999999997,134.5,134.5,11.208333333333334,3.171,3.811,2478,True,13.636,-0.444,14,6.333,0.673,ok,True,0.95,0.5399808709401799,0.95,0.01,43.15990832208633
2.9537677596900767,2.9537677596900527,-8.118721335904744e-13,63.58950761444752,4.832054134151294,42.625,127.875,200.0,127.875,127.875,10.65625,3.535,2.303,2489,True,16.65,0.431,14,11.21,0.576,ok,True,0.5,0.2791023012654729,0.5,0.01,44.17953974690542
1.4659699340344223,1.4659699324745283,-1.0640695661887952e-07,91.55491326054397,2.8081374355652913,17.625,52.875,200.0,52.875,52.875,4.40625,1.409,1.157,2549,True,12.214,-1.055,14,14.758,1.357,ok,True,0.5,0.25551569995304935,0.5,0.01,48.89686000939013
6.888577031658887,6.888577031659484,8.664429464828835e-12,65.36482841887958,11.391283588905067,83.79166666666667,251.375,199.99999999999997,251.375,251.375,20.947916666666668,3.207,4.141,2551,True,26.143,-0.286,14,6.669,0.539,ok,True,1.5,0.5941951497163525,1.5,0.01,60.386990018909835
36.58764442940983,36.58764443297908,9.755356403376334e-09,46.09735148674993,53.453579482757156,76.83333333333333,230.5,200.00000000000003,230.5,230.5,19.208333333333332,3.919,3.803,2667,True,16.977,0.758,14,1.184,1.695,ok,True,30.0,9.830394599275389,30.0,0.01,67.23201800241537
3.4891706398317592,3.4891706398414697,2.783026588533282e-10,124.93020067360334,7.848198522018025,18.75,56.25,200.0,56.25,56.25,4.6875,4.308,4.022,2749,True,20.708,0.906,14,4.367,0.701,ok,True,3.0,1.0647564063583606,3.0,0.01,64.50811978805466
5.078991442943046,5.078991442955969,2.5444020041798947e-10,76.71047267434535,8.97510978591421,49.083333333333336,147.25,199.99999999999997,147.25,147.25,12.270833333333334,3.103,2.237,2762,True,11.659,1.068,14,13.005,0.779,ok,True,1.0,0.5566010312679749,1.0,0.01,44.33989687320251
2.0258500783523283,2.025850078363365,5.447838989235574e-10,79.98780415322683,3.646283071462781,16.916666666666668,50.75,199.99999999999997,50.75,50.75,4.229166666666667,3.096,3.728,2860,True,12.735,0.133,14,6.933,0.816,ok,True,1.0,0.5395366301086879,1.0,0.01,46.046336989131206
0.8943135599131893,0.8943135589681086,-1.0567665780142896e-07,104.48338966533075,1.828722681547178,14.041666666666666,42.125,200.00000000000003,42.125,42.125,3.5104166666666665,1.16,2.78,3064,True,14.106,-0.788,14,13.821,0.63,ok,True,0.2,0.10408639366725009,0.2,0.01,47.956803166374954
1.264268303236722,1.2642682524173423,-4.019667301892055e-06,126.13433517908854,2.858944722404304,30.041666666666668,90.125,199.99999999999997,90.125,90.125,7.510416666666667,0.623,0.643,3080,True,23.442,-1.217,14,19.327,0.531,ok,True,0.09,0.03862576593563199,0.09,0.01,57.08248229374223
1.9428515763526597,1.9428515763465135,-3.163491611573951e-10,80.38797068390785,3.5046705319828773,32.083333333333336,96.25,199.99999999999997,96.25,96.25,8.020833333333334,0.822,1.75,3288,True,10.864,-1.169,14,15.448,3.729,ok,True,1.0,0.5552120410513931,1.0,0.01,44.47879589486069
6.308407091271319,6.308407091256847,-2.2940781977463244e-10,94.60288762251474,12.276342362597477,31.75,95.25,200.0,95.25,95.25,7.9375,3.508,3.345,3338,True,24.827,0.203,14,7.687,0.541,ok,True,1.5,0.7605124921023093,1.5,0.01,49.29916719317938
