duration_multiplier,precision_rule,n_contests,lower_prize,at_least_5pct_lower,mean_change_pct,median_change_pct
1.0,fixed,73,0,0,-5.1634232971288705e-17,5.637851296924623e-17
1.0,optimized,73,73,2,-1.369289866644132,-1.037233837693132
1.01,fixed,73,73,14,-3.541031218892066,-1.7065243473933478
1.01,optimized,73,73,19,-4.836153256981745,-2.899338214089018
1.05,fixed,73,73,55,-15.270815228378995,-8.27456111043125
1.05,optimized,73,73,60,-16.315451786658993,-9.072035095013659
1.1,fixed,73,73,73,-25.359059413677443,-15.950636178894161
1.1,optimized,73,73,73,-26.186168888904547,-16.72636334261243
