contest_id,mode,c_i_mean,c_i_sd,c_i_q025,c_i_q975,c_i_rhat,c_j_mean,c_j_sd,c_j_q025,c_j_q975,c_j_rhat,sigma_mean,sigma_sd,sigma_q025,sigma_q975,sigma_rhat,lambda_mean,lambda_sd,lambda_q025,lambda_q975,lambda_rhat,mu_0_mean,mu_0_sd,mu_0_q025,mu_0_q975,mu_0_rhat,r_mean,r_sd,r_q025,r_q975,r_rhat,divergences,max_treedepth
2667,early,4.16175842,0.5338580526295759,2.9088275,4.94900475,1.0009783570342534,4.2681406025,0.5341745125100652,2.95175425,4.96878375,1.0012506870042464,0.64034287725,0.077541683802455,0.512417075,0.811294425,1.0035067138916802,20.5237210825,6.999599456531058,10.80657,37.48493,0.9999891076370518,0.052791351461,0.609928286991797,-1.20169775,1.2306107500000003,1.0001763550865037,0.857087497428324,0.15436165018140333,0.5670044385685461,1.1686369607445655,1.0025444329377402,0,7
3080,full,0.59875669825,0.2506419636774691,0.25355880000000003,1.2152350000000005,1.0004817694015053,0.53515750775,0.21443430804878924,0.23463732499999998,1.0809382500000004,0.9997843746080173,0.5176053155,0.01762842711134674,0.5004229499999999,0.566196475,0.9993677645100291,66.0936945,18.529316730916534,31.226302500000003,97.81653,1.0011334163781191,-0.464751495513,0.5174734193809188,-1.46708525,0.535481175,0.9997822176290423,19.382140557401893,7.329151753024678,8.853485797135557,37.182380272651145,1.0000424055528423,0,6
3641,full,2.1642295032499996,0.6807336472235798,1.1058305000000002,3.7156975,1.001479497575892,2.9806226029999996,0.910435623140905,1.42058825,4.831013250000001,1.0020286020144493,0.5176983672500001,0.01690193542527475,0.500510925,0.5648797249999999,0.999961298431041,34.934555215,15.426178078329775,13.529872500000002,75.53074750000002,1.0025351271959289,0.7351573691009,0.5383726244137753,-0.33951205,1.8081972500000003,1.0004584710541597,4.515437425812147,1.345750624827634,2.302560688494509,7.465099547429239,1.0004211718510594,0,6
3960,early,3.571591675,0.7778548037374448,2.0900082500000003,4.9121755,1.0004681932727106,3.70180638,0.7639724703640269,2.1635899999999997,4.930450250000001,1.0001020795784132,0.52986684975,0.027734662157180106,0.501052875,0.604137375,1.0002296465704823,60.152529200000004,17.936206449691188,28.905645,95.17644750000001,1.0021038913744387,-1.2434391946349999,0.5177617784084454,-2.2731505,-0.23562724999999962,1.0005487850164343,2.174724728170384,0.48697104314346873,1.2613545875537437,3.1205241984090617,0.9995003963814655,0,6
3960,full,3.44445755425,0.7768596168976588,1.94643175,4.806605,1.0026480785710352,3.62880674,0.7782264876662827,2.05899325,4.86233875,1.0011343649078162,0.51646552075,0.016043740189288308,0.5002928249999999,0.5579713749999999,0.9998786283118016,72.10312280000001,15.85404202334596,40.8320925,97.89307,1.0013082040413626,-1.2658627116,0.5055786631613335,-2.25137425,-0.24388284999999982,1.0008843089242032,2.3045443388157563,0.5197527937544801,1.2970195852369448,3.2692987510255294,1.0019844424853472,0,7
4366,early,3.42320388,0.7291118383805137,1.959992,4.796806,1.0015491752366645,3.832848145,0.7435676343576118,2.19129675,4.938718000000001,1.0011564457391642,0.5423078685,0.04126780356237079,0.501073925,0.6539772750000001,0.9995104102686195,48.753399545,18.301419446924143,19.90316,90.49166500000001,1.0012298592053073,-0.1486741939625,0.536674596493073,-1.2187742499999998,0.9493028750000001,1.0014097224975558,1.985914856302975,0.44809453766520346,1.1345001418706693,2.893077320102771,1.0023406832291957,0,6
4657,full,3.05260163475,0.8397868558771118,1.5598905,4.7156857500000005,1.001487901381955,2.965454627,0.807635447693382,1.5576150000000002,4.54941,1.0027977149165086,0.5069673805,0.006996593070764457,0.500140975,0.52600755,0.9997128571683405,88.28086455,9.316853383388363,65.4999775,99.58061000000001,1.0010490933575829,0.0031489321127500026,0.483647797919919,-0.9551615,0.9664984500000001,1.0017542016415117,3.6217825358671614,0.9883783684150218,1.8885407200455955,5.583160425116243,1.0018151297233922,0,7
4699,full,4.029990395,0.6804136188003634,2.4703209999999998,4.965245749999999,1.0011684137238668,3.5401623575,0.7008115283898719,2.150473,4.819126750000001,1.0012592698096232,0.54900430775,0.049084602768151915,0.501245725,0.6797270750000001,1.0000947071284014,18.214886179999997,10.116011557338464,5.87389425,42.6808025,1.0005577694860384,0.10517479620625,0.5878213582032868,-1.07029325,1.2625450000000003,1.000639225703304,1.440474641416822,0.3190491855979719,0.8605904254669636,2.124395254002545,1.0005045461656554,0,6
4986,early,3.8438870875,0.6774935207584348,2.37337275,4.9406402499999995,1.0017374055303392,3.98709885,0.6794518692775403,2.45474375,4.95399175,1.002458181287679,0.52732846675,0.026159360257681515,0.500824925,0.601028125,1.0017444204899657,51.046018575000005,17.750049789335055,23.204169999999998,91.39761250000001,1.0031570167226225,-0.184466971488575,0.5220949820722082,-1.2057705,0.8693627500000001,1.0004934613841825,1.5729616884061823,0.3135909508171884,0.9602329906605978,2.1822406855091514,1.0027918945424854,0,6
4986,full,3.858304225,0.6742032491557663,2.411916,4.9052982499999995,1.0016402980407597,3.8498483575,0.6826368804931943,2.3873957499999996,4.9245915,1.0008924801017132,0.513985731,0.01394976231983305,0.50037995,0.550175375,1.0002526403924858,76.02504797499999,15.032608116086307,43.613885,98.573725,1.001722131057797,-0.18228168822225002,0.5087518929878103,-1.203004,0.7730447000000011,1.000101581924773,1.7511189619547423,0.33633695646781764,1.0923820567044105,2.4006370229403524,1.0009690588605744,0,6
