multiplier,n_contests,contests_with_lower_prize,n_at_least_1pct_lower,n_at_least_5pct_lower,n_at_least_10pct_lower,mean_required_prize_change_pct,median_required_prize_change_pct,mean_required_prize_change_abs,median_required_prize_change_abs
1.0,73,0,0,0,0,0.0,0.0,0.0,0.0
1.01,73,73,73,3,2,-2.4353964484670607,-1.5635924527350742,-0.10242849930322732,-0.05026481443757813
1.02,73,73,73,12,3,-4.524751805239092,-3.0901115745793906,-0.18908000913040632,-0.09845833489594913
1.05,73,73,73,73,19,-10.291105231648395,-7.372890956733724,-0.4218856711261279,-0.235786230852864
1.1,73,73,73,73,65,-17.916442558593843,-13.563398162257023,-0.7368544066336398,-0.44181391455971664
