B0,B_new,M0,M_new,T0_days,T_new_days,contest_id,lower_prize,multiplier,required_prize_change_abs,required_prize_change_pct,sampling0,sampling_new,status,theta0,theta_new
4.9104682837023015,4.9104682837023015,5.487880982454546,5.487880982454546,30.708333333333332,30.708333333333332,2445,False,1.0,0.0,0.0,2.1665277924750286,2.1665277924750286,ok,5.0,5.0
4.9104682837023015,4.910468283703077,5.487880982454546,5.4662695985910235,30.708333333333332,31.015416666666667,2445,True,1.01,-0.05931149565572902,-1.1862299131145804,2.1665277924750286,2.1773334844075647,ok,5.0,4.940688504344271
4.9104682837023015,4.910468283703851,5.487880982454546,5.444764939567654,30.708333333333332,31.322499999999998,2445,True,1.02,-0.11702794553041507,-2.3405589106083013,2.1665277924750286,2.1880858139200243,ok,5.0,4.882972054469585
4.9104682837023015,4.910468283704259,5.487880982454546,5.380875842893568,30.708333333333332,32.24375,2445,True,1.05,-0.2814443359822505,-5.62888671964501,2.1665277924750286,2.220030362257475,ok,5.0,4.7185556640177495
4.9104682837023015,4.910468283702592,5.487880982454546,5.2763895302964725,30.708333333333332,33.77916666666667,2445,True,1.1,-0.5304354302493355,-10.60870860498671,2.1665277924750286,2.272273518554356,ok,5.0,4.4695645697506645
2.4709750884407633,2.4709750884407633,0.5900472702607332,0.5900472702607332,28.041666666666668,28.041666666666668,2454,False,1.0,0.0,0.0,2.1759514533103967,2.1759514533103967,ok,0.15,0.15
2.4709750884407633,2.4709750884407833,0.5900472702607332,0.5683418842082204,28.041666666666668,28.322083333333335,2454,True,1.01,-0.006820302432115483,-4.546868288076989,2.1759514533103967,2.186804146336673,ok,0.15,0.1431796975678845
2.4709750884407633,2.470975088440836,0.5900472702607332,0.5467436872127732,28.041666666666668,28.602500000000003,2454,True,1.02,-0.013481515481889778,-8.98767698792652,2.1759514533103967,2.1976032448344496,ok,0.15,0.13651848451811022
2.4709750884407633,2.470975088440934,0.5900472702607332,0.48257669464389386,28.041666666666668,29.44375,2454,True,1.05,-0.03257506031917726,-21.716706879451504,2.1759514533103967,2.229686741118987,ok,0.15,0.11742493968082274
2.4709750884407633,2.470975088440833,0.5900472702607332,0.3776359020403761,28.041666666666668,30.84583333333334,2454,True,1.1,-0.061746356230578406,-41.16423748705227,2.1759514533103967,2.282157137420645,ok,0.15,0.08825364376942159
3.853744785322097,3.853744785322097,0.8078494371375416,0.8078494371375416,13.833333333333334,13.833333333333334,2464,False,1.0,0.0,0.0,3.4498200667533263,3.4498200667533263,ok,0.95,0.95
3.853744785322097,3.8537447853221054,0.8078494371375416,0.7734370534206311,13.833333333333334,13.971666666666668,2464,True,1.01,-0.04507592120196946,-4.744833810733628,3.4498200667533263,3.46702625861179,ok,0.95,0.9049240787980305
3.853744785322097,3.8537447853221924,0.8078494371375416,0.7391946105172221,13.833333333333334,14.110000000000001,2464,True,1.02,-0.089475300207432,-9.418452653413894,3.4498200667533263,3.4841474800635814,ok,0.95,0.860524699792568
3.853744785322097,3.853744785322225,0.8078494371375416,0.6374622955562912,13.833333333333334,14.525,2464,True,1.05,-0.2187824138536414,-23.029727774067513,3.4498200667533263,3.535013637544079,ok,0.95,0.7312175861463586
3.853744785322097,3.8537447853221356,0.8078494371375416,0.47108594943260734,13.833333333333334,15.216666666666669,2464,True,1.1,-0.42224872179696826,-44.44723387336508,3.4498200667533263,3.618201810605832,ok,0.95,0.5277512782030317
2.847171896978287,2.847171896978287,2.1223412195060143,2.1223412195060143,44.25,44.25,2478,False,1.0,0.0,0.0,1.78600128722528,1.78600128722528,ok,0.95,0.95
2.847171896978287,2.847171896978873,2.1223412195060143,2.104525634802572,44.25,44.6925,2478,True,1.01,-0.01306392322547234,-1.3751498132076148,1.78600128722528,1.794909079577587,ok,0.95,0.9369360767745276
2.847171896978287,2.8471718969791047,2.1223412195060143,2.08679802990766,44.25,45.135,2478,True,1.02,-0.025918463581492857,-2.728259324367669,1.78600128722528,1.8037728820252745,ok,0.95,0.9240815364185071
