duration_multiplier,precision_rule,n_contests,lower_prize,at_least_5pct_lower,mean_change_pct,median_change_pct
1.0,fixed,73,0,0,7.438595158208173e-16,5.342948306008566e-16
1.0,optimized,73,73,0,-0.6087316475764634,-0.4564919315766168
1.01,fixed,73,73,1,-1.082396090825996,-0.8029757886857426
1.01,optimized,73,73,2,-1.6738975380666519,-1.3578990670203077
1.05,fixed,73,73,22,-5.240409585557771,-3.8968852254237007
1.05,optimized,73,73,27,-5.769921895101657,-4.403069508097462
1.1,fixed,73,73,73,-10.079895494304802,-7.508112000571503
1.1,optimized,73,73,73,-10.544921836362706,-7.985369483638431
